,month,year,County Name,Parameter Name,Arithmetic Mean
3103,9,2012,San Luis Obispo,Outdoor Temperature,66.79614008
3104,9,2012,Santa Barbara,Outdoor Temperature,64.07841876923078
3105,9,2012,Santa Clara,Outdoor Temperature,63.513772
3106,9,2012,Santa Cruz,Outdoor Temperature,59.617361100000004
3107,9,2012,Shasta,Outdoor Temperature,58.4069445
3108,9,2012,Stanislaus,Outdoor Temperature,74.36483583333333
3109,9,2012,Sutter,Outdoor Temperature,75.34166673333334
3110,9,2012,Tehama,Outdoor Temperature,78.0263889
3111,9,2012,Tulare,Outdoor Temperature,75.81013503999999
3112,9,2012,Tuolumne,Outdoor Temperature,74.33888893333332
3113,9,2012,Ventura,Outdoor Temperature,72.45000002777778
3114,9,2012,Yolo,Outdoor Temperature,70.25138883333334
3440,10,2012,Amador,Outdoor Temperature,58.47361113333333
3441,10,2012,Butte,Outdoor Temperature,62.804659526881714
3442,10,2012,Calaveras,Outdoor Temperature,59.852150548387094
3443,10,2012,Colusa,Outdoor Temperature,63.52761483870968
3444,10,2012,Del Norte,Outdoor Temperature,56.24745325806452
3445,10,2012,El Dorado,Outdoor Temperature,54.009174895161294
3446,10,2012,Fresno,Outdoor Temperature,65.56460320652174
3447,10,2012,Glenn,Outdoor Temperature,63.741935516129026
3448,10,2012,Humboldt,Outdoor Temperature,57.35954887096774
3449,10,2012,Imperial,Outdoor Temperature,77.60629030967742
3450,10,2012,Inyo,Outdoor Temperature,64.54156724516129
3451,10,2012,Kern,Outdoor Temperature,67.36621508294931
3452,10,2012,Kings,Outdoor Temperature,66.41166044086022
3453,10,2012,Lake,Outdoor Temperature,57.162634427419356
3454,10,2012,Los Angeles,Outdoor Temperature,66.04851220382166
3455,10,2012,Madera,Outdoor Temperature,64.77220762637363
3456,10,2012,Marin,Outdoor Temperature,57.727150580645166
3457,10,2012,Mariposa,Outdoor Temperature,58.776369688172046
3458,10,2012,Merced,Outdoor Temperature,65.07466490322581
3459,10,2012,Mono,Outdoor Temperature,47.97842558064516
3460,10,2012,Monterey,Outdoor Temperature,60.719932258426965
3461,10,2012,Nevada,Outdoor Temperature,61.63172041935484
3462,10,2012,Orange,Outdoor Temperature,68.47160922580645
3463,10,2012,Riverside,Outdoor Temperature,72.03258615151515
3464,10,2012,Sacramento,Outdoor Temperature,64.72116387096774
3465,10,2012,San Benito,Outdoor Temperature,61.61481078688525
3466,10,2012,San Bernardino,Outdoor Temperature,65.66179733431085
3467,10,2012,San Diego,Outdoor Temperature,67.67582026612904
3468,10,2012,San Joaquin,Outdoor Temperature,65.29475692473119
3469,10,2012,San Luis Obispo,Outdoor Temperature,61.1761806516129
3470,10,2012,Santa Barbara,Outdoor Temperature,63.42674657714286
3471,10,2012,Santa Clara,Outdoor Temperature,60.522580677419356
3472,10,2012,Santa Cruz,Outdoor Temperature,60.72068243333333
3473,10,2012,Shasta,Outdoor Temperature,46.47066387096774
3474,10,2012,Stanislaus,Outdoor Temperature,64.68542535483871
3475,10,2012,Sutter,Outdoor Temperature,65.33602148387097
3476,10,2012,Tehama,Outdoor Temperature,63.10349464516129
3477,10,2012,Tulare,Outdoor Temperature,63.555410794326235
3478,10,2012,Tuolumne,Outdoor Temperature,61.32795693548387
3479,10,2012,Ventura,Outdoor Temperature,66.54883515053764
3803,11,2012,Butte,Outdoor Temperature,53.022685222222215
3804,11,2012,Calaveras,Outdoor Temperature,52.029166733333334
3805,11,2012,Colusa,Outdoor Temperature,54.14722226666667
3806,11,2012,Del Norte,Outdoor Temperature,52.43336179999999
3807,11,2012,El Dorado,Outdoor Temperature,46.82656642105263
3808,11,2012,Fresno,Outdoor Temperature,54.871637594444444
3809,11,2012,Glenn,Outdoor Temperature,54.238888800000005
3810,11,2012,Humboldt,Outdoor Temperature,49.9514493
3811,11,2012,Imperial,Outdoor Temperature,66.14515152
3812,11,2012,Inyo,Outdoor Temperature,52.39988216363636
3813,11,2012,Kern,Outdoor Temperature,56.964088733333334
3814,11,2012,Kings,Outdoor Temperature,55.52897303333334
3815,11,2012,Lake,Outdoor Temperature,48.98645833333333
3816,11,2012,Los Angeles,Outdoor Temperature,59.45825113621263
3817,11,2012,Madera,Outdoor Temperature,54.39552145555555
3818,11,2012,Marin,Outdoor Temperature,55.725000099999995
3819,11,2012,Mariposa,Outdoor Temperature,48.68370113333334
3820,11,2012,Merced,Outdoor Temperature,54.4228571
3821,11,2012,Mono,Outdoor Temperature,37.29912436666667
3822,11,2012,Monterey,Outdoor Temperature,55.51620373333333
3823,11,2012,Orange,Outdoor Temperature,60.748115133333336
3824,11,2012,Riverside,Outdoor Temperature,62.342339576
3825,11,2012,Sacramento,Outdoor Temperature,55.968962491666666
3826,11,2012,San Benito,Outdoor Temperature,54.055429249999996
3827,11,2012,San Bernardino,Outdoor Temperature,56.02595029
3828,11,2012,San Diego,Outdoor Temperature,60.7118645875
3829,11,2012,San Joaquin,Outdoor Temperature,55.85907412222222
3830,11,2012,San Luis Obispo,Outdoor Temperature,54.6811956
3831,11,2012,Santa Barbara,Outdoor Temperature,58.48517783636363
3832,11,2012,Santa Clara,Outdoor Temperature,56.79722223333333
3833,11,2012,Santa Cruz,Outdoor Temperature,55.04027776666667
3834,11,2012,Shasta,Outdoor Temperature,36.65929293333333
